#名前,職,index,名前,系統,条件,効果,対象,備考,武器名
グレッグ,F,1,復讐,buff_self,dropout_member,atkup,self,,
メフラム,F,2,,,,,,,
エディ,F,3,窮鼠,buff_self,hp_downto,atkup,self,,
ジャンダル,F,4,,,,,,,
カルロ,F,5,,,,,,,
ローデル,F,6,,,,,,,
エイダル,F,7,,,,,,,
ダスティ,F,8,商才,resource,battle_end,goldup,resource,,
リョータ,F,9,強気,buff_self,hp_upto,atkdefup,self,,
アザミ,F,10,疾風,buff_self,any,speedup,self,,
ヨヨ,F,11,凍結耐性,against_debuff,any,guard_freeze,self,,
ハルカ,F,12,荒地戦闘,field,in_wasteland,fullup,self,,
,,,,field,in_battlefield,fullup,self,,
ライオ,F,13,森林戦闘,field,in_forest,fullup,self,,
マルガ,F,14,秘境戦闘,field,in_cave,fullup,self,,
,,,,field,in_ruins,fullup,self,,
メア,F,15,,,,,,,
リンダ,F,16,プラス思考,in_debuff,in_poison,atkdefup,self,,
,,,,in_debuff,in_slow,atkdefup,self,,
,,,,in_debuff,in_blind,atkdefup,self,,
デンガル,F,17,弾き耐性,against_debuff,any,guard_push,self,,
セミマル,F,18,荒地戦闘,field,in_wasteland,fullup,self,,
,,,,field,in_battlefield,fullup,self,,
インドウ,F,19,凍刃,add_debuff,critical,freeze,enemy,,
カンベエ,F,20,隠形の術,buff_self,in_move,invisible,self,,
トルナド,F,21,森林戦闘,field,in_forest,fullup,self,,
ディエス,F,22,スロウ特効,for_debuff,for_slow,atkup,self,,
ジェアダ,F,23,ゴブリンキラー,killer,vs_goblin,atkup,self,,
ハルアキ,F,24,オーガキラー,killer,vs_ogre,atkup,self,,
バイセツ,F,25,窮鼠,buff_self,hp_downto,atkup,self,,
ドドガル,F,26,土妖精の肉体,heal,wave_start,heal_self,self,,
フランツ,F,27,窮鼠,buff_self,hp_downto,atkup,self,,
マレイカ,F,28,強気,buff_self,hp_upto,atkdefup,self,,
アイダ,F,29,大商才,resource,battle_end,goldup,resource,,
ジグムント,F,30,疾風,buff_self,any,speedup,self,,
リュビア,F,31,疾風,buff_self,any,speedup,self,,
マディーナ,F,32,盗賊,resource,battle_end,goldup,resource,,
イヌチヨ,F,33,奥義,skillup,any,skill_atkup,self,,
アイアリス,F,34,商才,resource,battle_end,goldup,resource,,
サナ,F,35,舞踊の足さばき,buff_self,any,speedup,self,,
主人公,F,36,鼓舞,heal,wave_start,heal_all,all,,
オグマ,F,37,荒地戦闘,field,in_wasteland,fullup,self,,
,,,,field,in_battlefield,fullup,self,,
,,,鬼の剣術,add_debuff,critical,down,enemy,,
サコン,F,38,荒地戦闘,field,in_wasteland,fullup,self,,
,,,,field,in_battlefield,fullup,self,,
