#名前,職,index,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,（入力補助用・名前）,スキル名,アビリティ1・名前,アビリティ2・名前,武器アビリティ・名前,絆アビリティ名
グレッグ,F,1,復讐に燃える戦士,1,2,1,Sl,first,other,石田 彰,toi8,guildtown,Warrior,1600,1450,3000,2850,グレッグ,リベンジブレード,復讐,,,守備協力
メフラム,F,2,賭博師,1,2,1,Sl,first,other,石田 彰,日暮央,oasis,Fighter,1580,1550,2980,2950,メフラム,デンジャラスカット,,,,人対策
エディ,F,3,みならい戦士,1,2,1,Sl,first,other,内田 真礼,はかせ,guildtown,Warrior,1570,1510,2970,2910,エディ,ターンエッジ,窮鼠,,,懐刀
ジャンダル,F,4,土妖精戦士団,1,2,1,Bl,first,other,柳田 淳一,えびら,mountain,Warrior,1550,1600,2950,3000,ジャンダル,インパクトタックル,,,,懐刀
カルロ,F,5,軽足の傭兵,1,2,1,Sl,first,other,石田 彰,п猫R,guildtown,Warrior,1500,1500,2900,2900,カルロ,ハードカット,,,,街の警備団
ローデル,F,6,土妖精の学者,1,2,1,Bl,first,other,石田 彰,hippo,mountain,Warrior,1500,1500,2900,2900,ローデル,ランダムパワーアップ,,,,動物の知識
エイダル,F,7,土妖精戦士団,1,2,1,Bl,first,other,石田 彰,hippo,mountain,Warrior,1400,1700,2800,3100,エイダル,ハードピック,,,,ランタン
ダスティ,F,8,熱血武器商人,2,4,1,Sl,first,other,柳田 淳一,ネム,guildtown,Merchant,3699,2400,5099,3800,ダスティ,ウェポンラッシュ,商才,,,小銭入れ
リョータ,F,9,剣士のタマゴ,2,4,1,Sl,first,other,内田 真礼,竜徹,volcano,SwordsMan,2500,2500,3900,3900,リョータ,疾風斬り,強気,,,奮起
アザミ,F,10,参領忍衆,2,4,1,Sl,first,other,佐倉 綾音,naji,volcano,Shinobi,2460,2250,3860,3650,アザミ,発破飛び苦無,疾風,,,二人三脚
ヨヨ,F,11,泣き虫火妖精,2,4,1,Sl,first,other,内田 真礼,えびら,mountain,Fighter,2400,2400,3800,3800,ヨヨ,フレイムカット,凍結耐性,,,凍結耐性
ハルカ,F,12,鬼の村娘,2,4,1,Bl,first,other,内田 真礼,kyo,volcano,Fighter,2400,2200,3800,3600,ハルカ,パワーアップ,荒地戦闘,,,荒地歩行
ライオ,F,13,千河の戦士,2,4,1,Bl,first,other,柳田 淳一,閏,forest,Warrior,2370,2340,3770,3740,ライオ,重撃,森林戦闘,,,獣の嗅覚
マルガ,F,14,巡回者の探検家,2,4,1,Bl,first,other,星野 早,タイキ,mountain,Fighter,2330,2280,3730,3680,マルガ,ファイアカット,秘境戦闘,,,ランタン
メア,F,15,軽業師,2,4,1,Sl,first,other,内田 真礼,NUKO-D,oasis,Clown,2320,2220,3720,3620,メア,ジャグリングカット,,,,懐刀
リンダ,F,16,土妖精戦士団,2,4,1,Bl,first,other,内田 真礼,稲垣,mountain,Warrior,2300,2300,3700,3700,リンダ,ダウンプレス,プラス思考,,,絶好調
デンガル,F,17,楽器職人,2,4,1,Bl,first,other,石田 彰,麦白子,oasis,Smith,2290,2460,3690,3860,デンガル,戦いのリズム,弾き耐性,,,響くリズム
セミマル,F,18,鬼神党若頭,3,9,2,Sl,first,volcano,柳田 淳一,天領セナ,volcano,Samurai,4600,4100,6200,5700,セミマル,業火斬,荒地戦闘,,,傭兵稼業
インドウ,F,19,冷刃の剣士,3,9,2,Sl,first,volcano,石田 彰,kyo,volcano,Samurai,4560,3900,6160,5500,インドウ,一刃必凍,凍刃,,,凍刃剣法
カンベエ,F,20,剛力忍者,3,9,2,Sl,first,volcano,石田 彰,п猫R,volcano,Shinobi,4500,3890,6100,5490,カンベエ,豪腕撃,隠形の術,,,粉骨
トルナド,F,21,千河の戦士,3,8,2,Pi,first,forest,石田 彰,閏,forest,Warrior,4400,4000,6000,5600,トルナド,アウストル,森林戦闘,,,密林哨戒
ディエス,F,22,お騒がせ三姉妹,3,8,2,Sl,first,forest,内田 真礼,葉山えいし,forest,Fighter,4340,4100,5940,5700,ディエス,ヴェノムトライ,スロウ特効,,,対スロウ戦術
ジェアダ,F,23,千河の戦士,3,8,2,Bl,first,forest,内田 真礼,kyo,forest,Warrior,4250,4250,5850,5850,ジェアダ,ノックダウン,ゴブリンキラー,,,ゴブリン駆除
ハルアキ,F,24,宿命の剣士,3,8,2,Sl,first,guildtown,石田 彰,文太,volcano,Samurai,4200,4150,5800,5750,ハルアキ,霞の刃,オーガキラー,,,柊の小枝
バイセツ,F,25,赤鬼の剣士,3,8,2,Sl,first,guildtown,柳田 淳一,ケロケロ齋藤,guildtown,SwordsMan,4150,3900,5750,5500,バイセツ,唐竹割り,窮鼠,,,密林哨戒
ドドガル,F,26,鋼の傭兵,3,8,2,Bl,first,mountain,石田 彰,heike,mountain,Warrior,4100,4200,5700,5800,ドドガル,ヘビーインパクト,土妖精の肉体,,,暗がりの先導者
フランツ,F,27,お調子者,3,8,2,Sl,first,guildtown,石田 彰,ケロケロ齋藤,guildtown,Thief,4100,4000,5700,5600,フランツ,ダッシュブレード,窮鼠,,,タウンキーパー
マレイカ,F,28,情熱の舞姫,3,8,2,Sl,first,oasis,佐倉 綾音,DSマイル,oasis,Dancer,4080,4230,5680,5830,マレイカ,情熱の舞,強気,,,凍結耐性
アイダ,F,29,土妖精の商売人,3,8,2,Bl,first,mountain,佐倉 綾音,村山竜大,mountain,Merchant,4000,4400,5600,6000,アイダ,商売根性,大商才,,,がまぐち
ジグムント,F,30,飛天の遊撃手,3,8,2,Pi,first,guildtown,柳田 淳一,萩谷薫,guildtown,Warrior,3900,4100,5500,5700,ジグムント,ダッシュブレード,疾風,,,おすすめの靴
リュビア,F,31,黒き鋭刃,3,8,2,Sl,first,guildtown,佐倉 綾音,ケロケロ齋藤,guildtown,Warrior,3840,3810,5440,5410,リュビア,ダークエッジ,疾風,,,不意打ち
マディーナ,F,32,女怪盗,3,8,2,Sl,first,guildtown,佐倉 綾音,まっつん！,guildtown,Thief,3820,4000,5420,5600,マディーナ,ダッシュブレード,盗賊,,,がまぐち
イヌチヨ,F,33,歌舞伎者,3,8,2,Pi,first,guildtown,柳田 淳一,文太,guildtown,Samurai,3760,4300,5360,5900,イヌチヨ,大立ち回り,奥義,,,マナの共鳴
アイアリス,F,34,死の商人,3,8,2,Sl,first,guildtown,星野 早,兎鷺,guildtown,Merchant,3650,3720,5250,5320,アイアリス,デスサイズ,商才,,,がまぐち
サナ,F,35,猪突の剣士,3,7,2,Pi,first,volcano,小岩井 ことり,竹森真太郎,volcano,Samurai,4400,4080,6000,5680,サナ,流氷突き,舞踊の足さばき,,,おすすめの靴
主人公,F,36,,3,0,0,Sl,first,other,石田 彰,toi8,volunteers,Warrior,3700,3700,,,主人公,ダッシュブレード,鼓舞,,,真心
オグマ,F,37,折れた剛刀,4,13,3,Sl,first,volcano,石田 彰,竜徹,volcano,Samurai,5800,4900,7600,6700,オグマ,抜刀術・鬼閃,荒地戦闘,鬼の剣術,,剛の剣
サコン,F,38,剛剣士,4,13,3,Sl,first,volcano,石田 彰,天野英,volcano,Samurai,5600,5000,7400,6800,サコン,一刀両断,荒地戦闘,報復の太刀,,傭兵稼業
ヨシカゲ,F,39,二領の戦鬼,4,13,3,Sl,first,volcano,福山 潤,萩谷薫,volcano,MasterFencer,5560,5600,7360,7400,ヨシカゲ,一騎当千,修羅の躍動,鬼の闘気,,戦鬼の闘気
ナズナ,F,40,厭世の剣士,4,13,3,Sl,first,volcano,佐倉 綾音,sime,volcano,Samurai,5280,5500,7080,7300,ナズナ,悲哀の剣閃,復讐,オーガキラー,,無常の剣
トウカ,F,41,宿命の剣士,4,12,3,Sl,first,holytown,佐倉 綾音,文太,volcano,Samurai,5400,5400,7200,7200,トウカ,無音の剣,オーガキラー,生存目的,,生きるために
ヴォルグ,F,42,“龍殺し”,4,12,3,Sl,first,guildtown,石田 彰,萩谷薫,guildtown,Warrior,5400,5000,7200,6800,ヴォルグ,ドラゴンスレイヤー,ドラゴンキラー,戦闘狂,,龍殺し
エルダ,F,43,土妖精戦士団隊長,4,12,3,Bl,first,mountain,内田 真礼,mamuru,mountain,Warrior,5300,5300,7100,7100,エルダ,フルスイング,土妖精の肉体,強撃,,追い打ち
アンジェリカ,F,44,微笑む悪魔,4,12,3,Sl,first,guildtown,佐倉 綾音,天野英,guildtown,Assassin,5300,5100,7100,6900,アンジェリカ,デモンスマイル,疾風,暗殺者の一撃,,暗殺剣
ベルナデット,F,45,恋するお嬢様,4,12,3,Bl,first,guildtown,内田 真礼,mamuru,guildtown,Berserker,5200,5200,7000,7000,ベルナデット,ラブボンバー,全力の一撃,恋の力,,ラブサポート
ハサン,F,46,みならい吟遊詩人,4,12,3,Sl,first,oasis,柳田 淳一,麦白子,oasis,Minstrel,5000,5400,6800,7200,ハサン,ソウルビート,スロウ耐性,後方攻撃支援,,奮起のロックンロール
アイナ,F,47,職人見習い,4,12,3,Bl,first,mountain,佐倉 綾音,四々九,mountain,Smith,5000,4980,6800,6780,アイナ,ダッシュプレス,秘境戦闘,夢への修行,,土地勘
アミル,F,48,魅惑の少年,4,12,3,Sl,event,other,佐倉 綾音,まっつん！,oasis,Dancer,4700,4700,,,アミル,テンプテーション,覚醒,心の解放,,魅惑の舞
イオ,F,49,二刀の剣士,4,12,3,Sl,event,other,石田 彰,moc,guildtown,SwordsMan,4500,4500,,,イオ,ラピッドブレード,市街戦闘,防衛本能,,都市戦術
レイジ,F,50,閃光の霊刃使い,4,12,3,Sl,collaboration,shiningblade,保志 総一朗,Tony,others,SwordsMan,4600,4400,7000,6800,レイジ,零式奥義　清,ドラゴンキラー,ハイテンション,,ダークドラゴンキラー
