#名前,職,index,タイプ,名称,系統,条件,サブ条件,条件備考,効果,サブ効果,効果備考,対象,サブ対象,対象備考,備考,武器名
グレッグ,F,1,1,復讐,buff_self,dropout_member,,,aup_m,,,self,,,,
,,,c,守備協力,buff_self,any,,,dup,,,self,,,,
,,,w,復讐鬼の大剣,buff_self,any,,,adsup,,,self,,,,復讐のグリーフソード
,,,,,buff_self,any,,,maxhpup,,,self,,,,
,,,,,skillup,any,,,skill_atkup,,,self,,,,
,,,,,add_debuff,skill,,,push,,,enemy,,,,
,,,,,add_debuff,skill,,,down,,,enemy,,,,
メフラム,F,2,c,人対策,killer,vs_human,,,adup,,,self,,,,
エディ,F,3,1,窮鼠,buff_self,hp_downto,,,aup,,,self,,,,
,,,c,懐刀,buff_self,any,,,aup,,,self,,,,
ジャンダル,F,4,c,懐刀,buff_self,any,,,aup,,,self,,,,
カルロ,F,5,c,街の警備団,field,in_town,,,adup,,,self,,,,
ローデル,F,6,c,動物の知識,killer,vs_beast,,,aup,,,self,,,,
エイダル,F,7,c,ランタン,field,in_cave,,,adup,,,self,,,,
ダスティ,F,8,1,商才,resource,battle_end,,,goldup,,,resource,,,,
,,,c,小銭入れ,resource,battle_end,,,goldup,,,resource,,,,
リョータ,F,9,1,強気,buff_self,hp_upto,,,adup,,,self,,,,
,,,c,奮起,buff_self,hp_upto,,,aup,,,self,,,,
アザミ,F,10,1,疾風,buff_self,any,,,sup,,,self,,,,
,,,c,二人三脚,buff_self,any,,,sup,,,self,,,,
ヨヨ,F,11,1,凍結耐性,against_debuff,any,,,guard_freeze,,,self,,,,
,,,c,凍結耐性,against_debuff,any,,,guard_freeze,,,self,,,,
ハルカ,F,12,1,荒地戦闘,field,in_wasteland,,,adsup,,,self,,,,
,,,,,field,in_battlefield,,,adsup,,,self,,,,
,,,c,荒地歩行,field,in_wasteland,,,adup,,,self,,,,
ライオ,F,13,1,森林戦闘,field,in_forest,,,adsup,,,self,,,,
,,,c,獣の嗅覚,field,in_forest,,,adup,,,self,,,,
マルガ,F,14,1,秘境戦闘,field,in_cave,,,adsup,,,self,,,,
,,,,,field,in_ruins,,,adsup,,,self,,,,
,,,c,ランタン,field,in_cave,,,adup,,,self,,,,
メア,F,15,,,,,,,,,,,,,,
リンダ,F,16,1,プラス思考,in_debuff,in_poison,,,adup,,,self,,,,
,,,,,in_debuff,in_slow,,,adup,,,self,,,,
,,,,,in_debuff,in_blind,,,adup,,,self,,,,
デンガル,F,17,1,弾き耐性,against_debuff,any,,,guard_push,,,self,,,,
,,,c,響くリズム,buff_self,any,,,aup,,,self,,,,
セミマル,F,18,1,荒地戦闘,field,in_wasteland,,,adsup,,,self,,,,
,,,,,field,in_battlefield,,,adsup,,,self,,,,
,,,c,傭兵稼業,field,in_wasteland,,,adup,,,self,,,,
,,,,,field,in_battlefield,,,adup,,,self,,,,
インドウ,F,19,1,凍刃,add_debuff,critical,,,freeze,,,enemy,,,,
,,,c,凍刃剣法,add_debuff,attack,,,freeze,,,enemy,,,,
カンベエ,F,20,1,隠形の術,buff_self,in_move,,,invisible,,,self,,,,
,,,c,粉骨,killer,vs_skeleton,,,adup,,,self,,,,
トルナド,F,21,1,森林戦闘,field,in_forest,,,adsup,,,self,,,,
,,,c,密林哨戒,field,in_forest,,,adup,,,self,,,,
ディエス,F,22,1,スロウ特効,for_debuff,for_slow,,,aup,,,self,,,,
,,,c,対スロウ戦術,for_debuff,for_slow,,,aup,,,self,,,,
ジェアダ,F,23,1,ゴブリンキラー,killer,vs_goblin,,,aup,,,self,,,,
,,,c,ゴブリン駆除,killer,vs_goblin,,,aup,,,self,,,,
ハルアキ,F,24,1,オーガキラー,killer,vs_ogre,,,aup,,,self,,,,
,,,c,柊の小枝,killer,vs_ogre,,,adup,,,self,,,,
バイセツ,F,25,1,窮鼠,buff_self,hp_downto,,,aup,,,self,,,,
,,,c,密林哨戒,field,in_forest,,,adup,,,self,,,,
ドドガル,F,26,1,土妖精の肉体,heal,wave_start,,,heal_self,,,self,,,,
,,,c,暗がりの先導者,field,in_cave,,,adup,,,self,,,,
フランツ,F,27,1,窮鼠,buff_self,hp_downto,,,aup,,,self,,,,
,,,c,タウンキーパー,field,in_town,,,adup,,,self,,,,
マレイカ,F,28,1,強気,buff_self,hp_upto,,,adup,,,self,,,,
,,,c,凍結耐性,against_debuff,any,,,guard_freeze,,,self,,,,
アイダ,F,29,1,大商才,resource,battle_end,,,goldup,,,resource,,,,
,,,c,がまぐち,resource,battle_end,,,goldup,,,resource,,,,
ジグムント,F,30,1,疾風,buff_self,any,,,sup,,,self,,,,
,,,c,おすすめの靴,buff_self,any,,,sup,,,self,,,,
リュビア,F,31,1,疾風,buff_self,any,,,sup,,,self,,,,
,,,c,不意打ち,buff_self,any,,,rup,,,self,,,,
