#名前,職,index,キャラタイプ,リンクコード,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,Wiki名
グレッグ,F,1,first,,復讐に燃える戦士,1,2,1,Sl,yggd,other,石田 彰,toi8,guildtown,Warrior,1600,1450,3000,2850,
メフラム,F,2,first,,賭博師,1,2,1,Sl,yggd,other,石田 彰,日暮央,oasis,Fighter,1580,1550,2980,2950,
エディ,F,3,first,,みならい戦士,1,2,1,Sl,yggd,other,内田 真礼,はかせ,guildtown,Warrior,1570,1510,2970,2910,
ジャンダル,F,4,first,,土妖精戦士団,1,2,1,Bl,yggd,other,柳田 淳一,えびら,mountain,Warrior,1550,1600,2950,3000,
カルロ,F,5,first,,軽足の傭兵,1,2,1,Sl,yggd,other,石田 彰,п猫R,guildtown,Warrior,1500,1500,2900,2900,
ローデル,F,6,first,,土妖精の学者,1,2,1,Bl,yggd,other,石田 彰,hippo,mountain,Warrior,1500,1500,2900,2900,
エイダル,F,7,first,,土妖精戦士団,1,2,1,Bl,yggd,other,石田 彰,hippo,mountain,Warrior,1400,1700,2800,3100,
ダスティ,F,8,first,,熱血武器商人,2,4,1,Sl,yggd,other,柳田 淳一,ネム,guildtown,Merchant,3699,2400,5099,3800,
リョータ,F,9,first,,剣士のタマゴ,2,4,1,Sl,yggd,other,内田 真礼,竜徹,volcano,SwordsMan,2500,2500,3900,3900,
アザミ,F,10,first,,参領忍衆,2,4,1,Sl,yggd,other,佐倉 綾音,naji,volcano,Shinobi,2460,2250,3860,3650,
ヨヨ,F,11,first,,泣き虫火妖精,2,4,1,Sl,yggd,other,内田 真礼,えびら,mountain,Fighter,2400,2400,3800,3800,
ハルカ,F,12,first,,鬼の村娘,2,4,1,Bl,yggd,other,内田 真礼,kyo,volcano,Fighter,2400,2200,3800,3600,
ライオ,F,13,first,,千河の戦士,2,4,1,Bl,yggd,other,柳田 淳一,閏,forest,Warrior,2370,2340,3770,3740,
マルガ,F,14,first,,巡回者の探検家,2,4,1,Bl,yggd,other,星野 早,タイキ,mountain,Fighter,2330,2280,3730,3680,
メア,F,15,first,,軽業師,2,4,1,Sl,yggd,other,内田 真礼,NUKO-D,oasis,Clown,2320,2220,3720,3620,
リンダ,F,16,first,,土妖精戦士団,2,4,1,Bl,yggd,other,内田 真礼,稲垣,mountain,Warrior,2300,2300,3700,3700,
デンガル,F,17,first,,楽器職人,2,4,1,Bl,yggd,other,石田 彰,麦白子,oasis,Smith,2290,2460,3690,3860,
セミマル,F,18,first,,鬼神党若頭,3,9,2,Sl,yggd,volcano,柳田 淳一,天領セナ,volcano,Samurai,4600,4100,6200,5700,
インドウ,F,19,first,,冷刃の剣士,3,9,2,Sl,yggd,volcano,石田 彰,kyo,volcano,Samurai,4560,3900,6160,5500,
カンベエ,F,20,first,,剛力忍者,3,9,2,Sl,yggd,volcano,石田 彰,п猫R,volcano,Shinobi,4500,3890,6100,5490,
トルナド,F,21,first,,千河の戦士,3,8,2,Pi,yggd,forest,石田 彰,閏,forest,Warrior,4400,4000,6000,5600,
ディエス,F,22,first,,お騒がせ三姉妹,3,8,2,Sl,yggd,forest,内田 真礼,葉山えいし,forest,Fighter,4340,4100,5940,5700,
ジェアダ,F,23,first,,千河の戦士,3,8,2,Bl,yggd,forest,内田 真礼,kyo,forest,Warrior,4250,4250,5850,5850,
ハルアキ,F,24,first,,宿命の剣士,3,8,2,Sl,yggd,guildtown,石田 彰,文太,volcano,Samurai,4200,4150,5800,5750,
バイセツ,F,25,first,,赤鬼の剣士,3,8,2,Sl,yggd,guildtown,柳田 淳一,ケロケロ齋藤,guildtown,SwordsMan,4150,3900,5750,5500,
ドドガル,F,26,first,,鋼の傭兵,3,8,2,Bl,yggd,mountain,石田 彰,heike,mountain,Warrior,4100,4200,5700,5800,
フランツ,F,27,first,,お調子者,3,8,2,Sl,yggd,guildtown,石田 彰,ケロケロ齋藤,guildtown,Thief,4100,4000,5700,5600,
マレイカ,F,28,first,,情熱の舞姫,3,8,2,Sl,yggd,oasis,佐倉 綾音,DSマイル,oasis,Dancer,4080,4230,5680,5830,
アイダ,F,29,first,,土妖精の商売人,3,8,2,Bl,yggd,mountain,佐倉 綾音,村山竜大,mountain,Merchant,4000,4400,5600,6000,
ジグムント,F,30,first,,飛天の遊撃手,3,8,2,Pi,yggd,guildtown,柳田 淳一,萩谷薫,guildtown,Warrior,3900,4100,5500,5700,
リュビア,F,31,first,,黒き鋭刃,3,8,2,Sl,yggd,guildtown,佐倉 綾音,ケロケロ齋藤,guildtown,Warrior,3840,3810,5440,5410,
マディーナ,F,32,first,,女怪盗,3,8,2,Sl,yggd,guildtown,佐倉 綾音,まっつん！,guildtown,Thief,3820,4000,5420,5600,
イヌチヨ,F,33,first,,歌舞伎者,3,8,2,Pi,yggd,guildtown,柳田 淳一,文太,guildtown,Samurai,3760,4300,5360,5900,
アイアリス,F,34,first,,死の商人,3,8,2,Sl,yggd,guildtown,星野 早,兎鷺,guildtown,Merchant,3650,3720,5250,5320,
サナ,F,35,first,,猪突の剣士,3,7,2,Pi,yggd,volcano,小岩井 ことり,竹森真太郎,volcano,Samurai,4400,4080,6000,5680,
主人公,F,36,first,,,3,0,0,Sl,yggd,other,石田 彰,toi8,volunteers,Warrior,3700,3700,,,
オグマ,F,37,first,,折れた剛刀,4,13,3,Sl,yggd,volcano,石田 彰,竜徹,volcano,Samurai,5800,4900,7600,6700,
サコン,F,38,first,,剛剣士,4,13,3,Sl,yggd,volcano,石田 彰,天野英,volcano,Samurai,5600,5000,7400,6800,
ヨシカゲ,F,39,first,,二領の戦鬼,4,13,3,Sl,yggd,volcano,福山 潤,萩谷薫,volcano,MasterFencer,5560,5600,7360,7400,
ナズナ,F,40,first,,厭世の剣士,4,13,3,Sl,yggd,volcano,佐倉 綾音,sime,volcano,Samurai,5280,5500,7080,7300,
トウカ,F,41,first,,宿命の剣士,4,12,3,Sl,yggd,holytown,佐倉 綾音,文太,volcano,Samurai,5400,5400,7200,7200,
ヴォルグ,F,42,first,,“龍殺し”,4,12,3,Sl,yggd,guildtown,石田 彰,萩谷薫,guildtown,Warrior,5400,5000,7200,6800,
エルダ,F,43,first,,土妖精戦士団隊長,4,12,3,Bl,yggd,mountain,内田 真礼,mamuru,mountain,Warrior,5300,5300,7100,7100,
アンジェリカ,F,44,first,,微笑む悪魔,4,12,3,Sl,yggd,guildtown,佐倉 綾音,天野英,guildtown,Assassin,5300,5100,7100,6900,
ベルナデット,F,45,first,,恋するお嬢様,4,12,3,Bl,yggd,guildtown,内田 真礼,mamuru,guildtown,Berserker,5200,5200,7000,7000,
ハサン,F,46,first,,みならい吟遊詩人,4,12,3,Sl,yggd,oasis,柳田 淳一,麦白子,oasis,Minstrel,5000,5400,6800,7200,
アイナ,F,47,first,,職人見習い,4,12,3,Bl,yggd,mountain,佐倉 綾音,四々九,mountain,Smith,5000,4980,6800,6780,
アミル,F,48,first,,魅惑の少年,4,12,3,Sl,event,other,佐倉 綾音,まっつん！,oasis,Dancer,4700,4700,,,
イオ,F,49,first,,二刀の剣士,4,12,3,Sl,event,other,石田 彰,moc,guildtown,SwordsMan,4500,4500,6300,6300,
レイジ,F,50,collaboration,,閃光の霊刃使い,4,12,3,Sl,collaboration,shiningblade,保志 総一朗,Tony,others,SwordsMan,4600,4400,7000,6800,
キキョウ,F,51,collaboration,,流浪の剣術家,4,12,3,Sl,collaboration,other,豊田 萌絵,斉藤ロクロ,volcano,SwordsMan,4400,4000,6200,5800,
フィーンド,F,52,first,,天武の忌才,4,12,3,Sl,collaboration,mediafactory,加藤 英美里,榎宮祐,others,Fighter,5280,4630,7280,6630,
ソウジロウ＝セタ,F,53,collaboration,,“剣聖”,4,12,3,Sl,collaboration,loghorizon,下野 紘,ハラカズヒロ,others,Samurai,5500,4900,7300,6700,
イブキ,F,54,first,,春眠の剣士,4,11,3,Sl,yggd,volcano,内田 真礼,DSマイル,volcano,Samurai,5670,4950,7470,6750,
ヒロチ,F,55,first,,街のカブキ者,4,11,3,Sl,collaboration,trefle,一木 千洋,あさぎり,guildtown,Warrior,4110,3720,6510,6120,
ヨシツグ,F,56,first,,第二領主,5,18,4,Sl,event,festival,石田 彰,竜徹,volcano,MasterFencer,7400,6900,9400,8900,
オリョウ,F,57,first,,鬼神剣士,5,18,4,Sl,yggd,volcano,沢城 みゆき,竜徹,volcano,Samurai,7050,6120,9050,8120,
