#名前,職,index,スキル名,スキル・マナコスト,条件,スキル・カテゴリ,スキル・サブカテゴリ,スキル・追加効果1,スキル・追加効果2,スキル・追加効果3,スキル・追加効果4,スキル・追加効果5,備考
グレッグ,F,1,リベンジブレード,2,,attack,one_short,,,,,,
メフラム,F,2,デンジャラスカット,1,,attack,one_short,,,,,,
エディ,F,3,ターンエッジ,1,,attack,range_self,,,,,,
ジャンダル,F,4,インパクトタックル,1,,attack,one_dash,add_push,,,,,
カルロ,F,5,ハードカット,2,,attack,one_short,,,,,,
ローデル,F,6,ランダムパワーアップ,1,,buff,random,atkup,,,,,
エイダル,F,7,ハードピック,2,,attack,one_short,,,,,,
ダスティ,F,8,ウェポンラッシュ,1,,attack,one_combo,,,,,,
リョータ,F,9,疾風斬り,1,,attack,range_dash,,,,,,
アザミ,F,10,発破飛び苦無,1,,attack,one_rear,fire,,,,,
ヨヨ,F,11,フレイムカット,1,,attack,one_dash,fire,,,,,
ハルカ,F,12,パワーアップ,1,,buff,self,atkup,,,,,
ライオ,F,13,重撃,1,,attack,one_short,,,,,,
マルガ,F,14,ファイアカット,1,,attack,one_short,fire,,,,,
メア,F,15,ジャグリングカット,2,,attack,one_combo,,,,,,
リンダ,F,16,ダウンプレス,2,,attack,one_short,add_down,,,,,
デンガル,F,17,戦いのリズム,1,,song_dance,atkup,,,,,,
セミマル,F,18,業火斬,2,,attack,range_explosion,fire,,,,,
インドウ,F,19,一刃必凍,2,,attack,one_short,ice,add_freeze,,,,
カンベエ,F,20,豪腕撃,1,,attack,one_short,add_push,,,,,
トルナド,F,21,アウストル,1,,attack,range_dash,add_slow,,,,,
ディエス,F,22,ヴェノムトライ,1,,attack,one_combo,add_poison,,,,,
ジェアダ,F,23,ノックダウン,2,,attack,one_short,add_down,,,,,
ハルアキ,F,24,霞の刃,2,,attack,one_combo,,,,,,
バイセツ,F,25,唐竹割り,1,,attack,one_short,,,,,,
ドドガル,F,26,ヘビーインパクト,2,,attack,one_short,add_push,,,,,
フランツ,F,27,ダッシュブレード,1,,attack,one_dash,,,,,,
マレイカ,F,28,情熱の舞,2,,song_dance,atkup,guard_freeze,,,,,
アイダ,F,29,商売根性,1,,buff,self,atkup,,,,,
ジグムント,F,30,ダッシュブレード,1,,attack,one_dash,,,,,,
リュビア,F,31,ダークエッジ,2,,attack,range_self,,,,,,
マディーナ,F,32,ダッシュブレード,1,,attack,one_dash,,,,,,
イヌチヨ,F,33,大立ち回り,3,,attack,range_self,,,,,,
アイアリス,F,34,デスサイズ,1,,attack,range_self,,,,,,
サナ,F,35,流氷突き,1,,attack,one_dash,ice,,,,,
主人公,F,36,ダッシュブレード,1,,attack,one_dash,,,,,,
オグマ,F,37,抜刀術・鬼閃,1,,attack,one_line,,,,,,
サコン,F,38,一刀両断,2,,attack,one_short,,,,,,
ヨシカゲ,F,39,一騎当千,2,,attack,one_short,,,,,,
ナズナ,F,40,悲哀の剣閃,1,,attack,range_explosion,,,,,,
トウカ,F,41,無音の剣,2,,attack,one_dash,add_push,,,,,
ヴォルグ,F,42,ドラゴンスレイヤー,2,,attack,one_short,,,,,,
エルダ,F,43,フルスイング,2,,attack,range_self,add_down,,,,,
アンジェリカ,F,44,デモンスマイル,2,,attack,one_short,add_down,,,,,
ベルナデット,F,45,ラブボンバー,1,,attack,range_explosion,,,,,,
ハサン,F,46,ソウルビート,1,,song_dance,atkup,,,,,,
アイナ,F,47,ダッシュプレス,2,,attack,one_dash,add_down,,,,,
アミル,F,48,テンプテーション,2,,buff,random,atkup,defup,,,,
イオ,F,49,ラピッドブレード,1,,attack,one_combo,,,,,,
レイジ,F,50,零式奥義　清,2,,attack,range_self,ice,,,,,
キキョウ,F,51,電撃斬り,2,,attack,one_dash,add_slow,,,,,
フィーンド,F,52,流天,3,,attack,range_self,,,,,,
ソウジロウ＝セタ,F,53,旋風飯綱,2,,attack,range_self,add_down,,,,,
イブキ,F,54,円月殺法,2,,attack,range_self,,,,,,
ヒロチ,F,55,ヴィテアタック,1,,attack,one_dash,add_blind,,,,,
ヨシツグ,F,56,散華繚乱,2,,attack,range_explosion,,,,,,
オリョウ,F,57,呪詛の鬼魂,2,,attack,one_short,add_curse,,,,,
カミナヅキ,F,58,鈴音天昇,3,,attack,range_self,,,,,,
テレサ,F,59,殺戮剣術,2,,attack,one_combo,,,,,,
チヨメ,F,60,忍法カゲキリ,2,,attack,one_short,add_slow,,,,,
ヨシノ,F,61,桜花爛漫,2,,attack,range_line,,,,,,
ソーニャ,F,62,プロミネンスドライブ,2,,attack,range_dash,fire,,,,,
ボクデン,F,63,剣嵐武闘,3,,attack,one_combo,,,,,,
サプラス,F,64,デモンズフルコース,2,,attack,one_combo,add_poison,,,,,
ミーム,F,65,突貫工事,2,,area,obstacle,,,,,,
セリーヌ,F,66,クリスタルクオーツ,3,,attack,one_line,,,,,,
コロパティロン,F,67,ビックチョッパー,2,,attack,range_self,,,,,,
ヨルデ,F,68,一之太刀,2,,attack,one_short,add_down,,,,,
キキ,F,69,フレアスプラッシュ,2,,attack,one_combo,fire,,,,,
ロレッタ,F,70,デストロイスマッシュ,3,,attack,one_short,add_down,,,,,
ニンファ,F,71,ハッピーストライク,3,,attack,one_short,,,,,,
リンセ,F,72,ニャインライブス,1,,attack,one_combo,,,,,,
フーコ,F,73,かすみくない,2,,attack,one_line,add_blind,,,,,
スルスタン,F,74,ストラトブレード,2,,attack,range_dash,add_down,,,,,
サクヤ,F,75,陰陽一刀流　影道閃,2,,attack,range_line,,,,,,
勇者,F,76,広域殲滅光炎陣,3,,attack,range_all,fire,,,,,
にゃん太,F,77,ブラッディピアッシング,2,,attack,one_combo,add_slow,,,,,
アカツキ,F,78,アサシネイト,3,,attack,one_short,,,,,,
カノ,F,79,四つ葉の祝福,1,,song_dance,atkup,,,,,,
,,,,,,,,,,,,,
セルバンテス,K,1,ヘビーチャージ,2,,attack,one_dash,add_push,,,,,
ベアトリクス,K,2,勝利のために,1,,buff,self,atkup,defdown,,,,
アントン,K,3,ガーディアン,1,,buff,self,defup,atkdown,,,,
ハーマン,K,4,ダウンハイカット,2,,attack,one_short,add_down,,,,,
バクストン,K,5,パワーアップ,1,,buff,self,atkup,,,,,
ロベルタ,K,6,ダウンハイカット,2,,attack,one_short,add_down,,,,,
カイン,K,7,スラッシュ,1,,attack,range_forward,,,,,,
ナックル,K,8,インパクトタックル,1,,attack,one_dash,add_push,,,,,
ギスゴ,K,9,ハードスラッシュ,2,,attack,range_forward,,,,,,
エリーナ,K,10,チャージランス,2,,attack,range_dash,add_push,,,,,
ルアンナ,K,11,クリンリバイブ,2,,heal,one_self,cure_poison,,,,,
アルベルト,K,12,ボディアップ,1,,buff,self,defup,,,,,
メリッサ,K,13,ヘビーカット,2,,attack,one_short,add_push,,,,,
ラヒーム,K,14,ブラインドソード,1,,attack,one_short,add_blind,,,,,
ラビィ,K,15,スラッシュ,1,,attack,range_forward,,,,,,
カディル,K,16,ポイズンファング,2,,attack,one_short,add_poison,,,,,
マリス,K,17,ブレイバー,2,,attack,one_dash,add_push,,,,,
ライネル,K,18,ダッシュブレード,1,,attack,one_dash,,,,,,
スレイ,K,19,スラッシュ,1,,attack,range_forward,,,,,,
オデット,K,20,ヘビースティング,1,,attack,one_dash,add_push,,,,,
カイ,K,21,ターンエッジ,1,,attack,range_self,,,,,,
トーマス,K,22,ホーリーリバイブ,1,,heal,one_self,,,,,,
フィーンド,K,23,アーマーチャージ,1,,attack,one_dash,add_push,,,,,
ダナディ,K,24,ブレイブタックル,1,,attack,range_dash,add_push,,,,,
ファン＝ファン,K,25,フレイムバリア,1,,barrier,self,guard_ice,,,,,
ムスタファ,K,26,サンドバイパー,1,,attack,range_forward,add_slow,,,,,
イルヘルミナ,K,27,ホーリーセイバー,2,,attack,range_dash,add_push,,,,,
アルヴェルト,K,28,破邪の牙,1,,attack,one_line,,,,,,
ローエンディア,K,29,フルーレ,1,,attack,one_short,add_push,,,,,
女騎士,K,30,勇者直伝　岩盤返し,2,,barrier,all,guard_ice,,,,,
直継,K,31,キャッスル・オブ・ストーン,1,,barrier,self,invincible,,,,,
クラスティ,K,32,オンスロート,2,,attack,range_self,,,,,,
ゴトリ,K,33,包丁乱舞,2,,attack,one_combo,,,,,,
ザレン,K,34,グランドアサルト,2,,attack,range_dash,add_push,,,,,
スティッチア,K,35,針剣舞,1,,attack,one_combo,,,,,,
アレス,K,36,ジャスティファイ,3,,attack,range_dash,add_push,,,,,
シンフォニア,K,37,アーティライト,3,,attack,one_line,add_push,,,,,
ユリアナ,K,38,クイーンズオーダー,1,,buff,all,atkup,,,,,
ジャファール,K,39,鷹爪剣,1,,attack,one_short,add_poison,add_blind,,,,
